Date,above_20,above_60,above_120,above_200
2024-01-02,49.839228295819936,62.80814576634513,47.80278670953912,37.19185423365487
2024-01-03,40.728831725616296,56.4844587352626,45.12325830653805,35.90568060021436
2024-01-04,36.01286173633441,54.340836012861736,43.30117899249732,34.941050375133976
2024-01-05,35.155412647374064,54.340836012861736,41.90782422293676,34.726688102893895
2024-01-08,35.36977491961415,52.73311897106109,41.58628081457664,33.762057877813504
2024-01-09,38.263665594855304,55.09110396570204,43.837084673097536,35.90568060021436
2024-01-10,35.90568060021436,53.26902465166131,43.30117899249732,35.36977491961415
2024-01-11,39.442658092175776,53.91211146838156,43.51554126473741,34.83386923901393
2024-01-12,33.33333333333333,50.160771704180064,42.12218649517685,33.22615219721329
2024-01-15,29.79635584137192,48.01714898177921,40.728831725616296,34.726688102893895
2024-01-16,25.616291532690244,44.69453376205787,39.12111468381565,32.261521972132904
2024-01-17,17.041800643086816,32.154340836012864,32.79742765273312,26.580921757770632
2024-01-18,18.756698821007504,32.475884244372985,33.01178992497321,27.331189710610932
2024-01-19,21.114683815648448,34.726688102893895,34.61950696677385,29.581993569131832
2024-01-22,21.757770632368704,32.58306538049303,34.40514469453376,27.974276527331188
2024-01-23,23.258306538049304,33.86923901393355,35.155412647374064,28.938906752411576
2024-01-24,21.757770632368704,31.832797427652732,34.08360128617363,27.224008574490888
2024-01-25,24.97320471596999,31.404072883172564,33.33333333333333,28.188638799571276
2024-01-26,29.153269024651664,33.11897106109325,35.155412647374064,28.403001071811364
2024-01-29,36.12004287245445,37.51339764201501,37.51339764201501,31.618435155412648
2024-01-30,41.157556270096464,39.657020364415864,40.30010718113612,33.01178992497321
2024-01-31,41.264737406216504,37.83494105037513,40.19292604501607,31.939978563772776
2024-02-01,51.23258306538049,47.05251875669882,47.90996784565916,38.156484458735264
2024-02-02,60.45016077170418,53.483386923901385,52.19721329046087,41.90782422293676
2024-02-05,59.80707395498393,54.340836012861736,52.62593783494105,41.80064308681672
2024-02-06,57.663451232583064,50.91103965702036,51.23258306538049,39.442658092175776
2024-02-07,62.37942122186495,53.37620578778135,53.26902465166131,42.12218649517685
2024-02-08,63.77277599142551,53.483386923901385,54.12647374062165,43.30117899249732
2024-02-13,70.7395498392283,57.341907824222936,55.841371918542336,45.12325830653805
2024-02-14,70.7395498392283,56.80600214362273,56.055734190782424,43.51554126473741
2024-02-15,70.31082529474813,55.841371918542336,54.555198285101824,43.19399785637727
2024-02-16,75.77706323687032,58.7352625937835,57.449088960342976,45.766345123258304
2024-02-19,80.70739549839229,62.91532690246516,60.77170418006431,48.338692390139336
2024-02-20,76.09860664523043,62.27224008574491,59.91425509110396,47.69560557341908
2024-02-21,72.34726688102894,60.12861736334405,59.163987138263664,45.98070739549839
2024-02-22,67.30975348338693,57.87781350482315,58.41371918542336,46.730975348338696
2024-02-23,61.62915326902465,56.37727759914255,57.234726688102896,45.98070739549839
2024-02-26,48.87459807073955,52.09003215434084,54.87674169346195,43.62272240085745
2024-02-27,32.97644539614561,44.860813704496785,49.892933618843685,40.25695931477516
2024-02-28,36.188436830835116,47.109207708779444,52.35546038543897,41.113490364025694
2024-02-29,33.51177730192719,44.75374732334047,50.74946466809421,41.220556745182016
2024-03-04,34.26124197002141,45.396145610278374,50.74946466809421,41.220556745182016
2024-03-05,30.620985010706637,42.82655246252677,49.143468950749465,39.72162740899358
2024-03-06,28.90792291220557,41.86295503211991,47.96573875802998,39.82869379014989
2024-03-07,28.051391862955033,39.82869379014989,45.82441113490364,38.0085653104925
2024-03-08,31.263383297644538,41.54175588865097,47.53747323340471,39.07922912205567
2024-03-11,28.37259100642398,41.113490364025694,46.466809421841546,39.400428265524624
2024-03-12,28.693790149892934,40.149892933618844,46.895074946466806,37.901498929336185
2024-03-13,29.764453961456105,40.57815845824411,47.75160599571734,39.07922912205567
2024-03-14,34.04710920770878,43.0406852248394,49.78586723768736,40.25695931477516
2024-03-15,32.22698072805139,40.899357601713064,47.109207708779444,39.82869379014989
2024-03-18,32.97644539614561,42.184154175588866,48.7152034261242,40.57815845824411
2024-03-19,30.94218415417559,41.54175588865097,48.0728051391863,38.97216274089936
2024-03-20,37.79443254817988,43.683083511777305,49.78586723768736,41.113490364025694
2024-03-21,46.57387580299786,47.43040685224839,52.35546038543897,43.0406852248394
2024-03-22,52.78372591006424,48.7152034261242,54.603854389721626,44.11134903640257
2024-03-25,51.2847965738758,50.0,54.28265524625267,44.432548179871524
2024-03-26,55.0321199143469,51.2847965738758,54.603854389721626,44.646680942184155
2024-03-27,53.21199143468951,48.394004282655246,53.319057815845824,44.53961456102783
2024-03-28,48.82226980728051,47.75160599571734,52.35546038543897,43.57601713062099
2024-03-29,41.711229946524064,42.24598930481284,49.411764705882355,42.032085561497325
2024-04-01,48.44919786096257,47.165775401069524,53.26203208556149,43.85026737967914
2024-04-02,40.21390374331551,42.45989304812834,49.73262032085562,42.780748663101605
2024-04-03,34.11764705882353,38.18181818181819,45.45454545454545,40.53475935828877
2024-04-04,35.08021390374332,39.144385026737964,45.56149732620321,41.60427807486631
2024-04-05,30.58823529411765,36.79144385026738,43.63636363636363,39.57219251336899
2024-04-08,26.737967914438503,35.18716577540107,41.3903743315508,37.75401069518717
2024-04-09,26.31016042780749,35.82887700534759,40.74866310160428,38.288770053475936
2024-04-11,24.49197860962567,31.44385026737968,37.75401069518717,36.79144385026738
2024-04-12,24.598930481283425,30.909090909090907,35.721925133689844,35.93582887700535
2024-04-15,23.315508021390375,28.770053475935832,36.0427807486631,34.973262032085564
