,percent
2024-01-02,0.0
2024-01-03,0.0
2024-01-04,0.0
2024-01-05,0.0
2024-01-08,0.0
2024-01-09,0.0
2024-01-10,0.0
2024-01-11,0.0
2024-01-12,0.0
2024-01-16,0.0
2024-01-17,0.0
2024-01-18,0.0
2024-01-19,0.0
2024-01-22,0.0
2024-01-23,0.0
2024-01-24,0.0
2024-01-25,0.0
2024-01-26,0.0
2024-01-29,0.0
2024-01-30,0.0
2024-01-31,0.0
2024-02-01,0.0
2024-02-02,0.0
2024-02-05,0.0
2024-02-06,0.0
2024-02-07,0.0
2024-02-08,0.0
2024-02-09,0.0
2024-02-12,0.0
2024-02-13,0.0
2024-02-14,0.0
2024-02-15,0.0
2024-02-16,0.0
2024-02-20,0.0
2024-02-21,0.0
2024-02-22,0.0
2024-02-23,0.0
2024-02-26,0.0
2024-02-27,0.0
2024-02-28,0.0
2024-02-29,0.0
2024-03-01,0.0
2024-03-04,0.0
2024-03-05,0.0
2024-03-06,0.0
2024-03-07,0.0
2024-03-08,0.0
2024-03-11,0.0
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,0.0
2024-03-18,0.0
2024-03-19,0.0
2024-03-20,0.0
2024-03-21,0.0
2024-03-22,0.0
2024-03-25,0.0
2024-03-26,0.0
2024-03-27,83.09859154929578
2024-03-28,84.50704225352112
2024-04-01,81.89134808853119
2024-04-02,75.45271629778671
2024-04-03,74.64788732394366
2024-04-04,69.01408450704226
2024-04-05,73.64185110663985
2024-04-08,75.65392354124748
2024-04-09,77.2635814889336
2024-04-10,64.38631790744466
2024-04-11,62.37424547283702
2024-04-12,50.10060362173038
2024-04-15,40.845070422535215
2024-04-16,36.820925553319924
2024-04-17,37.223340040241446
2024-04-18,38.43058350100604
2024-04-19,42.25352112676056
2024-04-22,46.478873239436616
2024-04-23,49.69818913480885
2024-04-24,49.69818913480885
2024-04-25,48.2897384305835
2024-04-26,49.49698189134809
2024-04-29,52.91750503018109
2024-04-30,44.8692152917505
2024-05-01,44.06438631790744
2024-05-02,46.478873239436616
2024-05-03,49.29577464788733
2024-05-06,56.53923541247485
2024-05-07,57.14285714285714
2024-05-08,54.72837022132797
2024-05-09,59.55734406438632
2024-05-10,59.55734406438632
2024-05-13,60.56338028169014
2024-05-14,61.97183098591549
2024-05-15,67.0020120724346
2024-05-16,64.98993963782696
2024-05-17,65.99597585513078
2024-05-20,64.1851106639839
2024-05-21,62.776659959758554
2024-05-22,59.758551307847085
2024-05-23,49.094567404426556
2024-05-24,52.51509054325956
2024-05-28,46.478873239436616
2024-05-29,38.83299798792756
2024-05-30,44.46680080482898
2024-05-31,51.710261569416495
2024-06-03,50.50301810865191
2024-06-04,48.692152917505034
2024-06-05,51.710261569416495
2024-06-06,50.50301810865191
2024-06-07,49.69818913480885
2024-06-10,50.30181086519114
2024-06-11,45.87525150905433
2024-06-12,48.08853118712273
2024-06-13,46.076458752515094
2024-06-14,44.06438631790744
2024-06-17,45.67404426559356
2024-06-18,48.2897384305835
2024-06-20,52.112676056338024
2024-06-21,50.905432595573444
2024-06-24,56.13682092555332
2024-06-25,49.094567404426556
2024-06-26,47.283702213279675
2024-06-27,50.10060362173038
2024-06-28,49.094567404426556
2024-07-01,43.05835010060362
2024-07-02,46.68008048289739
2024-07-03,45.87525150905433
2024-07-05,46.68008048289739
2024-07-08,47.68611670020121
2024-07-09,46.478873239436616
2024-07-10,53.31991951710262
2024-07-11,63.581488933601605
2024-07-12,69.61770623742454
2024-07-15,68.2092555331992
2024-07-16,76.05633802816901
2024-07-17,75.85513078470825
2024-07-18,71.0261569416499
2024-07-19,65.3923541247485
2024-07-22,70.62374245472837
2024-07-23,68.00804828973843
2024-07-24,60.160965794768615
2024-07-25,61.97183098591549
2024-07-26,68.00804828973843
2024-07-29,68.2092555331992
2024-07-30,68.41046277665997
2024-07-31,71.22736418511066
2024-08-01,62.17303822937625
2024-08-02,54.52716297786721
2024-08-05,44.26559356136821
2024-08-06,47.88732394366197
2024-08-07,45.07042253521127
2024-08-08,54.32595573440644
2024-08-09,58.35010060362173
2024-08-12,52.91750503018109
2024-08-13,59.95975855130785
2024-08-14,61.16700201207244
2024-08-15,65.99597585513078
2024-08-16,68.61167002012073
2024-08-19,72.43460764587525
2024-08-20,69.61770623742454
2024-08-21,74.44668008048289
2024-08-22,72.63581488933602
2024-08-23,77.8672032193159
2024-08-26,76.45875251509054
2024-08-27,75.65392354124748
2024-08-28,75.85513078470825
2024-08-29,76.65995975855131
2024-08-30,80.08048289738431
2024-09-03,71.22736418511066
2024-09-04,70.82494969818913
2024-09-05,66.80080482897385
2024-09-06,59.356136820925556
2024-09-09,64.98993963782696
2024-09-10,64.1851106639839
2024-09-11,65.59356136820925
2024-09-12,70.22132796780684
2024-09-13,74.24547283702213
2024-09-16,76.45875251509054
2024-09-17,78.06841046277665
2024-09-18,75.45271629778671
2024-09-19,83.09859154929578
2024-09-20,79.47686116700201
2024-09-23,80.48289738430584
2024-09-24,80.08048289738431
2024-09-25,76.25754527162978
2024-09-26,81.89134808853119
2024-09-27,82.897384305835
2024-09-30,81.89134808853119
2024-10-01,77.46478873239437
2024-10-02,75.45271629778671
2024-10-03,72.83702213279678
2024-10-04,74.84909456740442
2024-10-07,69.81891348088531
2024-10-08,70.02012072434609
2024-10-09,74.44668008048289
2024-10-10,70.02012072434609
2024-10-11,77.06237424547284
2024-10-14,81.28772635814889
2024-10-15,79.47686116700201
2024-10-16,79.87927565392354
2024-10-17,77.2635814889336
