,percent
2024-01-02,0.0
2024-01-03,0.0
2024-01-04,0.0
2024-01-05,0.0
2024-01-08,0.0
2024-01-09,0.0
2024-01-10,0.0
2024-01-11,0.0
2024-01-12,0.0
2024-01-16,0.0
2024-01-17,0.0
2024-01-18,0.0
2024-01-19,0.0
2024-01-22,0.0
2024-01-23,0.0
2024-01-24,0.0
2024-01-25,0.0
2024-01-26,0.0
2024-01-29,0.0
2024-01-30,65.92741935483872
2024-01-31,53.0241935483871
2024-02-01,64.71774193548387
2024-02-02,58.46774193548387
2024-02-05,48.185483870967744
2024-02-06,57.86290322580645
2024-02-07,59.2741935483871
2024-02-08,60.08064516129033
2024-02-09,59.67741935483871
2024-02-12,66.33064516129032
2024-02-13,48.38709677419355
2024-02-14,53.42741935483871
2024-02-15,67.54032258064517
2024-02-16,61.89516129032258
2024-02-20,59.07258064516129
2024-02-21,64.51612903225806
2024-02-22,71.7741935483871
2024-02-23,72.78225806451613
2024-02-26,67.74193548387096
2024-02-27,71.7741935483871
2024-02-28,70.96774193548387
2024-02-29,74.59677419354838
2024-03-01,73.99193548387096
2024-03-04,78.2258064516129
2024-03-05,70.16129032258065
2024-03-06,75.80645161290323
2024-03-07,77.82258064516128
2024-03-08,78.0241935483871
2024-03-11,78.2258064516129
2024-03-12,82.25806451612904
2024-03-13,78.83064516129032
2024-03-14,64.51612903225806
2024-03-15,59.07258064516129
2024-03-18,61.29032258064516
2024-03-19,68.14516129032258
2024-03-20,77.82258064516128
2024-03-21,79.83870967741935
2024-03-22,72.37903225806451
2024-03-25,66.53225806451613
2024-03-26,63.983903420523134
2024-03-27,80.08048289738431
2024-03-28,82.49496981891348
2024-04-01,71.83098591549296
2024-04-02,57.14285714285714
2024-04-03,55.33199195171026
2024-04-04,42.25352112676056
2024-04-05,50.70422535211267
2024-04-08,54.72837022132797
2024-04-09,58.14889336016097
2024-04-10,34.00402414486921
2024-04-11,33.80281690140845
2024-04-12,16.096579476861166
2024-04-15,9.25553319919517
2024-04-16,9.25553319919517
2024-04-17,7.847082494969819
2024-04-18,10.261569416498995
2024-04-19,19.718309859154928
2024-04-22,28.169014084507044
2024-04-23,37.223340040241446
2024-04-24,36.820925553319924
2024-04-25,40.44265593561368
2024-04-26,43.66197183098591
2024-04-29,50.905432595573444
2024-04-30,40.04024144869216
2024-05-01,39.436619718309856
2024-05-02,46.076458752515094
2024-05-03,55.13078470824949
2024-05-06,64.1851106639839
2024-05-07,68.00804828973843
2024-05-08,68.61167002012073
2024-05-09,75.25150905432596
2024-05-10,77.46478873239437
2024-05-13,75.0503018108652
2024-05-14,76.25754527162978
2024-05-15,77.2635814889336
2024-05-16,77.46478873239437
2024-05-17,75.85513078470825
2024-05-20,72.63581488933602
2024-05-21,72.83702213279678
2024-05-22,65.79476861167002
2024-05-23,46.478873239436616
2024-05-24,48.2897384305835
2024-05-28,37.62575452716298
2024-05-29,27.364185110663986
2024-05-30,31.388329979879277
2024-05-31,45.67404426559356
2024-06-03,39.2354124748491
2024-06-04,38.028169014084504
2024-06-05,41.04627766599598
2024-06-06,39.63782696177062
2024-06-07,36.41851106639839
2024-06-10,39.2354124748491
2024-06-11,34.60764587525151
2024-06-12,42.052313883299796
2024-06-13,38.83299798792756
2024-06-14,33.601609657947684
2024-06-17,40.845070422535215
2024-06-18,48.08853118712273
2024-06-20,53.52112676056338
2024-06-21,55.93561368209256
2024-06-24,66.39839034205231
2024-06-25,52.91750503018109
2024-06-26,46.88128772635815
2024-06-27,48.692152917505034
2024-06-28,51.10663983903421
2024-07-01,40.44265593561368
2024-07-02,47.283702213279675
2024-07-03,46.076458752515094
2024-07-05,44.06438631790744
2024-07-08,47.48490945674044
2024-07-09,45.07042253521127
2024-07-10,57.74647887323944
2024-07-11,74.84909456740442
2024-07-12,80.48289738430584
2024-07-15,76.45875251509054
2024-07-16,83.90342052313883
2024-07-17,79.07444668008048
2024-07-18,74.44668008048289
2024-07-19,68.61167002012073
2024-07-22,75.0503018108652
2024-07-23,70.22132796780684
2024-07-24,57.74647887323944
2024-07-25,58.752515090543255
2024-07-26,65.79476861167002
2024-07-29,65.59356136820925
2024-07-30,64.1851106639839
2024-07-31,66.19718309859155
2024-08-01,56.74044265593562
2024-08-02,46.076458752515094
2024-08-05,29.577464788732392
2024-08-06,37.223340040241446
2024-08-07,32.3943661971831
2024-08-08,44.06438631790744
2024-08-09,46.478873239436616
2024-08-12,40.643863179074444
2024-08-13,49.49698189134809
2024-08-14,53.52112676056338
2024-08-15,70.02012072434609
2024-08-16,75.25150905432596
2024-08-19,83.70221327967808
2024-08-20,78.4708249496982
2024-08-21,84.70824949698189
2024-08-22,79.27565392354124
2024-08-23,89.93963782696177
2024-08-26,90.54325955734407
2024-08-27,88.53118712273643
2024-08-28,84.70824949698189
2024-08-29,87.12273641851107
2024-08-30,91.34808853118712
2024-09-03,72.83702213279678
2024-09-04,70.4225352112676
2024-09-05,59.758551307847085
2024-09-06,42.052313883299796
2024-09-09,52.31388329979879
2024-09-10,50.50301810865191
2024-09-11,50.70422535211267
2024-09-12,55.73440643863179
2024-09-13,64.58752515090544
2024-09-16,72.43460764587525
2024-09-17,71.42857142857143
2024-09-18,68.2092555331992
2024-09-19,75.0503018108652
2024-09-20,71.22736418511066
2024-09-23,76.45875251509054
2024-09-24,75.45271629778671
2024-09-25,65.59356136820925
2024-09-26,69.21529175050301
2024-09-27,73.23943661971832
2024-09-30,76.65995975855131
2024-10-01,71.6297786720322
2024-10-02,64.98993963782696
